EmployeeID,Name,Year,Month,MonthName,WorkStatus,SickDays,VacationDays
2921,Logan Wilson,2026,1,January,Active,0,10
2921,Logan Wilson,2026,2,February,Active,0,0
2921,Logan Wilson,2026,3,March,Active,0,0
2921,Logan Wilson,2026,4,April,Active,0,0
2921,Logan Wilson,2026,5,May,Active,0,0
2921,Logan Wilson,2026,6,June,Terminated,0,0
2921,Logan Wilson,2026,7,July,Terminated,0,0
2921,Logan Wilson,2026,8,August,Terminated,0,0
2921,Logan Wilson,2026,9,September,Terminated,0,0
2921,Logan Wilson,2026,10,October,Terminated,0,0
2921,Logan Wilson,2026,11,November,Terminated,0,0
2921,Logan Wilson,2026,12,December,Terminated,0,0
3697,Ethan Wood,2026,1,January,Active,5,5
3697,Ethan Wood,2026,2,February,Active,0,0
3697,Ethan Wood,2026,3,March,Active,2,1
3697,Ethan Wood,2026,4,April,Terminated,0,0
3697,Ethan Wood,2026,5,May,Terminated,0,0
3697,Ethan Wood,2026,6,June,Terminated,0,0
3697,Ethan Wood,2026,7,July,Terminated,0,0
3697,Ethan Wood,2026,8,August,Terminated,0,0
3697,Ethan Wood,2026,9,September,Terminated,0,0
3697,Ethan Wood,2026,10,October,Terminated,0,0
3697,Ethan Wood,2026,11,November,Terminated,0,0
3697,Ethan Wood,2026,12,December,Terminated,0,0
2973,Joshua Cooper,2026,1,January,Active,0,0
2973,Joshua Cooper,2026,2,February,Active,0,0
2973,Joshua Cooper,2026,3,March,Active,0,2
2973,Joshua Cooper,2026,4,April,Active,0,0
2973,Joshua Cooper,2026,5,May,Active,6,0
2973,Joshua Cooper,2026,6,June,Active,0,13
2973,Joshua Cooper,2026,7,July,Active,0,2
2973,Joshua Cooper,2026,8,August,Active,0,0
2973,Joshua Cooper,2026,9,September,Terminated,0,0
2973,Joshua Cooper,2026,10,October,Terminated,0,0
2973,Joshua Cooper,2026,11,November,Terminated,0,0
2973,Joshua Cooper,2026,12,December,Terminated,0,0
1314,Poppy Wilson,2026,1,January,Active,0,0
1314,Poppy Wilson,2026,2,February,Active,0,0
1314,Poppy Wilson,2026,3,March,Active,0,0
1314,Poppy Wilson,2026,4,April,Active,0,2
1314,Poppy Wilson,2026,5,May,Active,0,0
1314,Poppy Wilson,2026,6,June,Active,0,10
1314,Poppy Wilson,2026,7,July,Terminated,0,0
1314,Poppy Wilson,2026,8,August,Terminated,0,0
